"","feature","task","shap_phi","fname","group","taxa"
"1677","bs_top",47,26.9638004337344,"bs_top","hydro","Lufrie"
"1678","Carbone",47,12.1945857841801,"C","physchem","Lufrie"
"1679","cec_top",47,3.49030020672362,"cec_top","hydro","Lufrie"
"1680","clay",47,14.0091861457657,"clay","structural","Lufrie"
"1681","clc",47,68.0955806822376,"clc","landcover","Lufrie"
"1682","CN",47,12.4727919867961,"CN","physchem","Lufrie"
"1683","crusting",47,36.6543804552685,"crusting","structural","Lufrie"
"1684","dgh",47,4.34431896329392,"dgh","structural","Lufrie"
"1685","dimp",47,3.38427867283579,"dimp","structural","Lufrie"
"1686","erodi",47,34.0410940250941,"erodi","structural","Lufrie"
"1687","parmado",47,28.8465797918336,"parmado","structural","Lufrie"
"1688","pd_top",47,9.15991069041658,"pd_top","structural","Lufrie"
"1689","pH",47,35.7607322190562,"pH","physchem","Lufrie"
"1690","proxi_eau_fast",47,3.95719999209512,"proxi_eau_fast","hydro","Lufrie"
"1691","silt",47,9.22690462962259,"silt","structural","Lufrie"
"1692","wr",47,13.314673464573,"wr","hydro","Lufrie"
"1693","awc_top",48,12.6214986912775,"awc_top","hydro","Lumeli"
"1694","bio_1",48,21.7515825434107,"TMeanY","temperature","Lumeli"
"1695","bio_10",48,14.7776028796572,"TMeanWarmQ","temperature","Lumeli"
"1696","bio_11",48,7.75613288051601,"TMeanColdQ","temperature","Lumeli"
"1697","bio_12",48,8.59842476375169,"PTotY","precipitation","Lumeli"
"1698","bio_13",48,7.84427987708432,"PWetM","precipitation","Lumeli"
"1699","bio_14",48,9.2400001411193,"PDryM","precipitation","Lumeli"
"1700","bio_15",48,6.23857372084957,"PSeason","precipitation","Lumeli"
"1701","bio_16",48,4.25519305696649,"PWetQ","precipitation","Lumeli"
"1702","bio_17",48,7.95967468924107,"PDryQ","precipitation","Lumeli"
"1703","bio_18",48,28.660735297783,"PWarmQ","precipitation","Lumeli"
"1704","bio_19",48,33.5666403964289,"PColdQ","precipitation","Lumeli"
"1705","bio_2",48,22.4610243825319,"TMeanRngD","temperature","Lumeli"
"1706","bio_3",48,33.1421783207672,"TIso","temperature","Lumeli"
"1707","bio_4",48,5.9122423789463,"TSeason","temperature","Lumeli"
"1708","bio_5",48,9.38888397747664,"TMaxWarmM","temperature","Lumeli"
"1709","bio_6",48,9.71257829323528,"TMinColdM","temperature","Lumeli"
"1710","bio_7",48,3.89034094907615,"TRngY","temperature","Lumeli"
"1711","bio_8",48,1.88041719071765,"TMeanWetQ","temperature","Lumeli"
"1712","bio_9",48,6.94462130185359,"TMeanDryQ","temperature","Lumeli"
"1713","bs_top",48,40.4694004759016,"bs_top","hydro","Lumeli"
"1714","Carbone",48,3.25107410653473,"C","physchem","Lumeli"
"1715","cec_top",48,0.940796298970746,"cec_top","hydro","Lumeli"
"1716","clay",48,16.6197719325535,"clay","structural","Lumeli"
"1717","clc",48,11.1477202365331,"clc","landcover","Lumeli"
"1718","CN",48,41.4506111034389,"CN","physchem","Lumeli"
"1719","crusting",48,13.481266654488,"crusting","structural","Lumeli"
"1720","dgh",48,1.42048422522998,"dgh","structural","Lumeli"
"1721","dimp",48,1.54499674464948,"dimp","structural","Lumeli"
"1722","erodi",48,3.07080978286917,"erodi","structural","Lumeli"
"1723","parmado",48,23.2381356589122,"parmado","structural","Lumeli"
"1724","pd_top",48,20.7380053882226,"pd_top","structural","Lumeli"
"1725","pH",48,27.6187332467322,"pH","physchem","Lumeli"
"1726","proxi_eau_fast",48,1.42985434378729,"proxi_eau_fast","hydro","Lumeli"
"1727","silt",48,5.86920719325524,"silt","structural","Lumeli"
"1728","wr",48,14.5472573948243,"wr","hydro","Lumeli"
"1729","awc_top",49,11.4051965413056,"awc_top","hydro","Lurube"
"1730","bio_1",49,22.9105811521318,"TMeanY","temperature","Lurube"
"1731","bio_10",49,19.5202287814161,"TMeanWarmQ","temperature","Lurube"
"1732","bio_11",49,11.6552118062787,"TMeanColdQ","temperature","Lurube"
"1733","bio_12",49,7.93781367497519,"PTotY","precipitation","Lurube"
"1734","bio_13",49,67.6953634528629,"PWetM","precipitation","Lurube"
"1735","bio_14",49,33.3051934211934,"PDryM","precipitation","Lurube"
"1736","bio_15",49,22.9015712895198,"PSeason","precipitation","Lurube"
"1737","bio_16",49,10.7571142799268,"PWetQ","precipitation","Lurube"
"1738","bio_17",49,9.43194380638655,"PDryQ","precipitation","Lurube"
"1739","bio_18",49,74.8853438797407,"PWarmQ","precipitation","Lurube"
"1740","bio_19",49,19.0755247567547,"PColdQ","precipitation","Lurube"
"1741","bio_2",49,42.4524478672119,"TMeanRngD","temperature","Lurube"
"1742","bio_3",49,26.1024156644801,"TIso","temperature","Lurube"
"1743","bio_4",49,16.1526075612847,"TSeason","temperature","Lurube"
"1744","bio_5",49,15.6923605026864,"TMaxWarmM","temperature","Lurube"
"1745","bio_6",49,23.2414432414155,"TMinColdM","temperature","Lurube"
"1746","bio_7",49,56.7864492168603,"TRngY","temperature","Lurube"
"1747","bio_8",49,17.85399771119,"TMeanWetQ","temperature","Lurube"
"1748","bio_9",49,35.0858376410976,"TMeanDryQ","temperature","Lurube"
"1749","bs_top",49,13.1278123628953,"bs_top","hydro","Lurube"
"1750","Carbone",49,16.720776995793,"C","physchem","Lurube"
"1751","cec_top",49,10.7862275829213,"cec_top","hydro","Lurube"
"1752","clay",49,6.04761521483772,"clay","structural","Lurube"
"1753","clc",49,34.4814381951466,"clc","landcover","Lurube"
"1754","CN",49,10.8824567973614,"CN","physchem","Lurube"
"1755","crusting",49,13.3778385081841,"crusting","structural","Lurube"
"1756","dgh",49,13.994678559145,"dgh","structural","Lurube"
"1757","dimp",49,11.0103935240442,"dimp","structural","Lurube"
"1758","erodi",49,11.8607533392543,"erodi","structural","Lurube"
"1759","parmado",49,19.0316670321999,"parmado","structural","Lurube"
"1760","pd_top",49,22.6333775135269,"pd_top","structural","Lurube"
"1761","pH",49,33.033001581314,"pH","physchem","Lurube"
"1762","proxi_eau_fast",49,3.27334049040452,"proxi_eau_fast","hydro","Lurube"
